1 6 0.65853 11
44 64 0.9969 6
44 93 0.55401 9
45 54 0.70283 12
45 57 0.5816 7
45 62 0.75025 8
45 69 0.5946 6
45 72 0.64104 6
45 74 0.89388 8
45 75 0.92657 18
45 79 0.94619 6
45 94 0.74848 7
46 49 0.96544 12
46 50 0.76676 6
46 74 0.69531 6
46 92 0.50982 4
47 52 0.62896 5
47 92 0.94941 3
47 98 0.75217 4
48 56 0.6721 6
48 89 0.64693 7
48 93 0.77095 7
48 95 0.86142 6
49 54 0.88053 16
49 59 0.92597 13
49 61 0.73291 11
49 63 0.55258 15
49 69 0.62192 10
49 75 0.63772 22
49 76 0.80392 11
49 81 0.72725 14
49 89 0.92662 13
49 91 0.76225 10
49 99 0.6616 11
50 54 0.56235 10
50 56 0.86607 6
51 54 0.95489 11
51 63 0.91166 9
52 82 0.94279 4
52 100 0.79885 5
53 80 0.59337 5
54 70 0.89637 8
54 75 0.9412 20
54 80 0.9832 10
54 85 0.73893 8
54 93 0.55728 11
54 96 0.86689 8
55 59 0.93722 7
55 65 0.98025 4
55 71 0.71442 4
55 75 0.63764 16
55 80 0.70286 6
56 76 0.55777 5
56 84 0.60269 6
56 93 0.54547 7
57 60 0.76613 8
57 68 0.70424 4
58 62 0.77762 5
58 78 0.56534 4
59 75 0.84385 17
59 81 0.69814 9
59 93 0.68418 8
60 63 0.84741 11
60 75 0.62239 19
60 78 0.53624 7
60 82 0.62186 7
60 83 0.5446 7
60 93 0.55325 10
61 71 0.95666 2
61 75 0.75651 14
62 75 0.85609 15
62 77 0.69567 3
62 85 0.55412 4
63 66 0.75659 7
63 68 0.96908 7
63 75 0.57811 18
63 86 0.88338 6
63 100 0.98578 8
64 99 0.59547 2
65 70 0.97025 2
66 89 0.55017 5
66 95 0.65703 4
67 75 0.6832 14
68 75 0.62193 15
68 93 0.52101 6
70 79 0.72741 2
72 84 0.9835 4
73 75 0.91581 14
73 80 0.51221 4
74 81 0.66961 8
74 86 0.92929 4
74 88 0.97424 4
74 90 0.7558 4
75 76 0.81655 14
75 77 0.55437 14
75 80 0.90729 16
75 81 0.63159 18
75 82 0.73208 14
75 83 0.69149 14
75 84 0.64501 16
75 88 0.97081 14
75 94 0.73089 15
75 95 0.80007 16
75 97 0.72359 14
75 98 0.58432 15
78 95 0.78959 4
81 84 0.51192 8
81 87 0.96392 6
81 95 0.97539 8
81 97 0.81929 6
81 99 0.95771 6
81 100 0.73236 7
84 98 0.87356 5
85 96 0.52804 2
87 93 0.99934 5
87 100 0.50525 4
89 94 0.94165 6
89 95 0.59984 7
89 98 0.53135 6
89 100 0.99011 6
90 94 0.82799 3
