1 3 0.63142 5
59 88 0.98185 12
60 67 0.5325 12
60 75 0.8281 10
60 76 0.71294 11
60 80 0.78405 12
60 84 0.76867 10
60 87 0.71708 10
60 93 0.9614 13
60 100 0.66569 11
61 62 0.53525 7
61 69 0.5825 6
61 74 0.75866 8
61 75 0.70005 6
61 77 0.79719 6
61 93 0.73041 9
61 95 0.67508 5
61 100 0.60948 6
62 68 0.82483 3
62 82 0.58949 3
63 65 0.92174 11
63 82 0.54046 3
63 84 0.78034 3
64 65 0.76525 10
65 72 0.89859 11
65 76 0.93066 11
65 92 0.68369 11
65 93 0.5729 14
65 95 0.58478 10
65 96 0.58711 11
65 98 0.83843 11
66 74 0.79249 5
66 100 0.87493 3
67 74 0.60311 7
67 80 0.68487 7
67 93 0.81041 8
68 88 0.64734 4
69 80 0.73477 5
71 76 0.65221 4
71 89 0.63358 3
71 92 0.95272 4
71 100 0.54562 4
72 74 0.69863 5
73 98 0.51971 3
74 91 0.99756 5
74 93 0.62645 8
76 80 0.5146 5
77 78 0.97001 4
77 96 0.90659 4
79 96 0.95886 3
80 85 0.61232 4
80 99 0.81628 4
81 93 0.66279 5
83 88 0.58674 4
84 88 0.77176 4
88 89 0.76228 4
93 96 0.50603 6
